,0
1431,6098
1432,7030
1433,386
1434,5779
1435,967
1436,6599
1437,6067
1438,9617
1439,1141
1440,8281
1441,2897
1442,3411
1443,12470
1444,13536
1445,7906
1446,5159
1447,4079
1448,10302
1449,1609
1450,11143
1451,8705
1452,439
1453,453
1454,7032
1455,6323
1456,849
1457,6373
1458,988
1459,7457
1460,42
1461,8322
1462,13018
1463,918
1464,1623
1465,1625
1466,1627
1467,1629
1468,7347
1469,7349
1470,657
1471,9097
1472,1631
1473,682
1474,7201
1475,10069
1476,394
1477,9311
1478,3983
1479,11628
1480,6680
1481,2218
1482,4696
1483,7770
1484,490
1485,534
1486,6718
1487,10544
1488,9581
1489,13617
1490,1633
1491,1635
1492,604
1493,7873
1494,1637
1495,7358
1496,759
1497,1639
1498,379
1499,8846
1500,935
1501,5007
1502,735
1503,12908
1504,9109
1505,2065
1506,6673
1507,10
1508,7976
1509,443
1510,4447
1511,10553
1512,2866
1513,2072
1514,11646
1515,10447
1516,13284
1517,8104
1518,10523
1519,691
1520,6403
1521,7875
1522,732
1523,1641
1524,6946
1525,6451
1526,5472
1527,12745
1528,6386
1529,10322
1530,12586
1531,434
1532,2147
1533,7648
1534,354
1535,7365
1536,3527
1537,189
1538,5763
1539,12122
1540,11168
1541,4188
1542,12295
1543,11353
1544,3272
1545,1643
1546,8820
1547,12106
1548,7934
1549,7859
1550,8514
1551,5161
1552,9101
1553,1645
1554,1647
1555,1649
1556,1651
1557,11073
1558,1653
1559,9096
1560,7113
1561,12330
1562,12866
1563,4728
1564,1655
1565,474
1566,11367
1567,1657
1568,169
1569,1130
1570,895
1571,2948
1572,8289
1573,12104
1574,14009
1575,501
1576,1659
1577,12748
1578,1661
1579,6652
1580,12489
1581,10795
1582,13052
1583,4293
1584,13212
1585,1663
1586,2435
1587,11811
1588,12067
1589,3435
1590,1664
1591,528
1592,1666
1593,6930
1594,3962
1595,1668
1596,602
1597,1670
1598,6179
1599,3853
1600,13139
1601,11422
1602,819
1603,2509
1604,4843
1605,10549
1606,8938
1607,4073
1608,3453
1609,6467
1610,4028
1611,10619
1612,655
1613,5347
1614,7750
1615,6574
1616,7722
1617,3063
1618,3538
1619,6253
1620,11430
1621,12818
1622,6077
1623,10853
1624,4793
1625,4766
1626,12485
1627,13664
1628,5318
1629,3994
1630,7483
1631,12574
1632,7901
1633,8176
1634,13431
1635,13990
1636,6185
1637,10836
1638,5235
1639,8861
1640,2921
1641,12993
1642,513
1643,11708
1644,11528
1645,4288
1646,10938
1647,12811
1648,416
1649,3885
1650,10144
1651,1672
1652,1674
1653,2643
1654,6137
1655,6140
1656,1676
1657,9509
1658,8929
1659,12082
1660,926
1661,429
1662,1678
1663,7171
1664,5298
1665,5566
1666,3503
1667,1680
1668,1682
1669,2612
1670,173
1671,12484
1672,9295
1673,4285
1674,9276
1675,13453
1676,8462
1677,13148
1678,10356
1679,9114
1680,5273
1681,5729
1682,3207
1683,1684
1684,138
1685,10885
1686,1686
1687,8719
1688,1688
1689,5453
1690,2554
1691,1690
1692,10528
1693,13637
1694,12003
1695,13713
1696,1692
1697,12762
1698,7062
1699,12931
1700,9991
1701,3481
1702,1694
1703,1698
1704,3509
1705,13749
1706,13611
1707,10521
1708,8262
1709,10127
1710,1700
1711,10249
1712,1702
1713,10004
1714,1704
1715,698
1716,8844
1717,5212
1718,1706
1719,1708
1720,2235
1721,4337
1722,3958
1723,8195
1724,3652
1725,346
1726,8496
1727,5080
1728,4340
1729,1710
1730,4615
1731,578
1732,14024
1733,6377
1734,1086
1735,8752
1736,11383
1737,700
1738,4259
1739,10696
1740,1713
1741,1715
1742,10809
1743,7849
1744,3026
1745,6091
1746,569
1747,576
1748,775
1749,7416
1750,9577
1751,1120
1752,1717
1753,8678
1754,278
1755,11536
1756,4005
1757,2791
1758,1719
1759,7696
1760,1721
1761,13692
1762,8304
1763,10311
1764,3549
1765,10479
1766,9778
1767,5761
1768,3917
1769,11490
1770,4370
1771,3617
1772,7039
1773,10817
1774,2408
1775,13046
1776,6021
1777,9269
1778,1723
1779,8316
1780,11297
1781,1725
1782,277
1783,3255
1784,2950
1785,2233
1786,8768
1787,5302
1788,5258
1789,8830
1790,591
1791,4076
1792,12057
1793,1089
1794,4032
1795,1727
1796,5425
1797,3843
1798,3288
1799,11136
1800,5148
1801,13917
1802,1729
1803,10016
1804,1731
1805,9024
1806,7720
1807,1097
1808,1837
1809,8095
1810,7589
1811,5304
1812,6540
1813,9085
1814,12877
1815,3162
1816,6568
1817,11856
1818,6649
1819,907
1820,13271
1821,7575
1822,5230
1823,978
1824,1733
1825,7454
1826,13097
1827,3554
1828,7647
1829,13370
1830,13372
1831,7701
1832,8051
1833,1735
1834,9421
1835,2706
1836,3319
1837,5556
1838,8507
1839,11580
1840,6387
1841,8499
1842,6571
1843,10324
1844,12114
1845,7792
1846,7779
1847,12075
1848,9143
1849,6087
1850,8344
1851,9686
1852,7813
1853,9511
1854,10746
1855,1737
1856,931
1857,9203
1858,1739
1859,13340
1860,4048
1861,7832
1862,3043
1863,2074
1864,5636
1865,13684
1866,1741
1867,6151
1868,3978
1869,2326
1870,7954
1871,7694
1872,13732
1873,1743
1874,1745
1875,1747
1876,12209
1877,1749
1878,2093
1879,6705
1880,1751
1881,6772
1882,1753
1883,9694
1884,11766
1885,994
1886,1755
1887,1757
1888,13415
1889,1759
1890,1761
1891,1763
1892,6687
1893,9975
1894,12780
1895,13383
1896,2284
1897,3339
1898,4877
1899,7561
1900,4707
1901,11960
1902,12729
1903,8696
1904,8552
1905,10993
1906,10831
1907,5056
1908,12567
